Country,Code,Overall LPI Score,Rank,Confidence interval,% of highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,Ease of ShipmentScore,Ease of ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,Domestic Logistics CostsScore,Domestic Logistics CostsRank,TimelinessScore,TimelinessRank
Singapore,SGP,4.19,1,0.05,100.0,3.90,3,4.27,2,4.04,2,4.21,2,4.25,1,2.70,113,4.53,1
Netherlands,NLD,4.18,2,0.04,99.6,3.99,1,4.29,1,4.05,1,4.25,1,4.14,4,2.65,121,4.38,5
Germany,DEU,4.10,3,0.03,97.1,3.88,4,4.19,3,3.91,4,4.21,3,4.12,5,2.34,136,4.33,8
Sweden,SWE,4.08,4,0.08,96.4,3.85,6,4.11,5,3.90,5,4.06,6,4.15,3,2.44,129,4.43,4
Austria,AUT,4.06,5,0.11,96.0,3.83,8,4.06,8,3.97,3,4.13,4,3.97,13,2.24,141,4.44,3
Japan,JPN,4.02,6,0.03,94.8,3.79,11,4.11,6,3.77,10,4.12,5,4.08,7,2.02,148,4.34,6
Switzerland,CHE,4.02,7,0.08,94.5,3.85,5,4.13,4,3.67,14,4.00,8,4.04,9,2.26,139,4.48,2
"Hong Kong, China",HKG,4.00,8,0.04,94.1,3.84,7,4.06,9,3.78,7,3.99,9,4.06,8,2.66,119,4.33,7
United Kingdom,GBR,3.99,9,0.03,93.8,3.74,13,4.05,10,3.85,6,4.02,7,4.10,6,2.21,143,4.25,11
Canada,CAN,3.92,10,0.05,91.6,3.82,9,3.95,12,3.78,8,3.85,12,3.98,11,2.84,91,4.19,13
Ireland,IRL,3.91,11,0.11,91.3,3.82,10,3.72,19,3.76,11,3.93,11,3.96,14,2.65,120,4.32,9
Belgium,BEL,3.89,12,0.05,90.7,3.61,16,4.00,11,3.65,17,3.95,10,3.96,15,2.62,122,4.25,10
Denmark,DNK,3.86,13,0.10,89.6,3.97,2,3.82,14,3.67,15,3.83,15,3.76,17,2.52,128,4.11,19
United States,USA,3.84,14,0.03,89.1,3.52,19,4.07,7,3.58,20,3.85,14,4.01,10,2.20,144,4.11,18
Finland,FIN,3.82,15,0.13,88.3,3.68,14,3.81,17,3.30,30,3.85,13,4.17,2,2.22,142,4.18,14
Norway,NOR,3.81,16,0.09,88.1,3.76,12,3.82,16,3.62,19,3.78,17,3.67,20,2.08,147,4.24,12
Australia,AUS,3.79,17,0.09,87.5,3.58,17,3.65,20,3.72,12,3.76,19,3.97,12,2.80,97,4.10,20
France,FRA,3.76,18,0.05,86.6,3.51,21,3.82,15,3.63,18,3.76,18,3.87,16,2.34,135,4.02,23
New Zealand,NZL,3.75,19,0.12,86.1,3.57,18,3.61,22,3.77,9,3.82,16,3.68,19,2.86,89,4.05,22
United Arab Emirates,ARE,3.73,20,0.08,85.5,3.52,20,3.80,18,3.68,13,3.67,20,3.61,23,2.80,100,4.12,17
"Taiwan, China",TWN,3.64,21,0.09,82.8,3.25,25,3.62,21,3.65,16,3.58,23,3.60,24,3.10,43,4.18,15
Italy,ITA,3.58,22,0.05,80.7,3.19,29,3.52,23,3.57,21,3.63,21,3.66,21,2.39,132,3.93,27
Luxemburg,LUX,3.54,23,0.30,79.5,3.67,15,3.86,13,3.00,45,3.22,33,3.56,26,2.88,86,4.00,25
South Africa,ZAF,3.53,24,0.10,79.4,3.22,28,3.42,26,3.56,22,3.54,25,3.71,18,2.61,124,3.78,31
South Korea,KOR,3.52,25,0.07,79.0,3.22,27,3.44,25,3.44,24,3.63,22,3.56,25,2.73,110,3.86,30
Spain,ESP,3.52,26,0.08,79.0,3.17,30,3.51,24,3.45,23,3.55,24,3.63,22,2.75,107,3.86,29
Malaysia,MYS,3.48,27,0.07,77.7,3.36,23,3.33,28,3.36,26,3.40,26,3.51,28,3.13,37,3.95,26
Portugal,PRT,3.38,28,0.11,74.6,3.24,26,3.16,32,3.23,33,3.19,34,3.44,30,2.78,102,4.06,21
Greece,GRC,3.36,29,0.15,73.9,3.06,31,3.05,35,3.11,37,3.33,28,3.53,27,2.87,88,4.13,16
China,CHN,3.32,30,0.04,72.8,2.99,35,3.20,30,3.31,28,3.40,27,3.37,31,2.97,72,3.68,36
Thailand,THA,3.31,31,0.10,72.5,3.03,32,3.16,31,3.24,32,3.31,29,3.25,36,3.21,28,3.91,28
Chile,CHL,3.25,32,0.08,70.5,3.32,24,3.06,34,3.21,34,3.19,35,3.17,37,2.68,115,3.55,44
Israel,ISR,3.21,33,0.17,69.1,2.73,43,3.00,37,3.27,31,3.23,32,3.46,29,2.17,145,3.58,41
Turkey,TUR,3.15,34,0.13,67.5,3.00,33,2.94,39,3.07,41,3.29,30,3.27,34,2.71,112,3.38,52
